direction,token,train_freq,train_pct,dev_freq,dev_pct,devtest_freq,devtest_pct
ar-en/ar,في,20342,3.6447,1086,3.4133,542,3.412
ar-en/ar,من,13697,2.4541,661,2.0775,328,2.0648
ar-en/ar,على,9197,1.6478,545,1.7129,272,1.7123
ar-en/ar,إلى,6896,1.2355,469,1.4741,230,1.4479
ar-en/ar,أن,6255,1.1207,468,1.4709,229,1.4416
ar-en/ar,مع,2970,0.5321,152,0.4777,78,0.491
ar-en/ar,التي,2860,0.5124,143,0.4494,74,0.4658
ar-en/ar,عن,2849,0.5105,152,0.4777,76,0.4784
ar-en/ar,ما,2435,0.4363,149,0.4683,63,0.3966
ar-en/ar,هذه,1957,0.3506,101,0.3174,47,0.2959
ar-en/ar,أو,1944,0.3483,92,0.2892,50,0.3148
ar-en/ar,هذا,1848,0.3311,88,0.2766,33,0.2077
ar-en/ar,لا,1833,0.3284,57,0.1791,28,0.1763
ar-en/ar,الذي,1538,0.2756,94,0.2954,34,0.214
ar-en/ar,بعد,1536,0.2752,92,0.2892,34,0.214
ar-en/ar,خلال,1466,0.2627,118,0.3709,54,0.3399
ar-en/ar,بين,1452,0.2602,72,0.2263,35,0.2203
ar-en/ar,عام,1309,0.2345,42,0.132,39,0.2455
ar-en/ar,كما,1254,0.2247,104,0.3269,60,0.3777
ar-en/ar,،,1123,0.2012,2,0.0063,1,0.0063
ar-en/ar,غير,1090,0.1953,47,0.1477,39,0.2455
ar-en/ar,حيث,1075,0.1926,59,0.1854,17,0.107
ar-en/ar,لم,1064,0.1906,64,0.2012,18,0.1133
ar-en/ar,كان,1049,0.1879,42,0.132,21,0.1322
ar-en/ar,إن,971,0.174,58,0.1823,26,0.1637
ar-en/ar,أكثر,947,0.1697,48,0.1509,18,0.1133
ar-en/ar,قد,923,0.1654,58,0.1823,26,0.1637
ar-en/ar,ذلك,892,0.1598,34,0.1069,22,0.1385
ar-en/ar,مثل,831,0.1489,52,0.1634,18,0.1133
ar-en/ar,كانت,825,0.1478,36,0.1131,9,0.0567
ar-en/ar,قبل,820,0.1469,43,0.1351,17,0.107
ar-en/ar,بشكل,795,0.1424,58,0.1823,28,0.1763
ar-en/ar,عبر,735,0.1317,42,0.132,23,0.1448
ar-en/ar,منذ,728,0.1304,43,0.1351,12,0.0755
ar-en/ar,المتحدة,711,0.1274,26,0.0817,16,0.1007
ar-en/ar,أي,707,0.1267,43,0.1351,10,0.063
ar-en/ar,حتى,701,0.1256,24,0.0754,18,0.1133
ar-en/ar,لكن,693,0.1242,46,0.1446,21,0.1322
ar-en/ar,هو,673,0.1206,26,0.0817,15,0.0944
ar-en/ar,أنه,665,0.1191,57,0.1791,27,0.17
ar-en/ar,نحو,660,0.1183,49,0.154,43,0.2707
ar-en/ar,كل,658,0.1179,18,0.0566,22,0.1385
ar-en/ar,العام,656,0.1175,57,0.1791,36,0.2266
ar-en/ar,الرئيس,636,0.114,50,0.1571,34,0.214
ar-en/ar,مما,635,0.1138,29,0.0911,14,0.0881
ar-en/ar,اليوم,626,0.1122,46,0.1446,28,0.1763
ar-en/ar,مليون,593,0.1062,47,0.1477,17,0.107
ar-en/ar,بل,572,0.1025,31,0.0974,17,0.107
ar-en/ar,ذلك،,558,0.1,26,0.0817,10,0.063
ar-en/ar,وفي,558,0.1,24,0.0754,17,0.107
ar-en/ar,.,554,0.0993,1,0.0031,0,0.0
ar-en/ar,وقال,541,0.0969,43,0.1351,24,0.1511
ar-en/ar,مليار,541,0.0969,76,0.2389,43,0.2707
ar-en/ar,بما,534,0.0957,27,0.0849,28,0.1763
ar-en/ar,وهو,531,0.0951,42,0.132,12,0.0755
ar-en/ar,يوم,527,0.0944,31,0.0974,10,0.063
ar-en/ar,حول,515,0.0923,30,0.0943,11,0.0692
ar-en/ar,بعض,507,0.0908,31,0.0974,14,0.0881
ar-en/ar,دون,490,0.0878,27,0.0849,18,0.1133
ar-en/ar,ترامب,487,0.0873,47,0.1477,20,0.1259
ar-en/ar,الولايات,482,0.0864,32,0.1006,9,0.0567
ar-en/ar,يمكن,482,0.0864,20,0.0629,9,0.0567
ar-en/ar,الحكومة,479,0.0858,29,0.0911,21,0.1322
ar-en/ar,شركة,460,0.0824,65,0.2043,12,0.0755
ar-en/ar,الذين,448,0.0803,17,0.0534,1,0.0063
ar-en/ar,تم,442,0.0792,11,0.0346,5,0.0315
ar-en/ar,دولار,442,0.0792,30,0.0943,16,0.1007
ar-en/ar,بينما,439,0.0787,30,0.0943,14,0.0881
ar-en/ar,رئيس,437,0.0783,33,0.1037,17,0.107
ar-en/ar,عندما,436,0.0781,8,0.0251,6,0.0378
ar-en/ar,بنسبة,435,0.0779,53,0.1666,25,0.1574
ar-en/ar,مجلس,433,0.0776,31,0.0974,11,0.0692
ar-en/ar,إسرائيل,421,0.0754,14,0.044,25,0.1574
ar-en/ar,إذ,417,0.0747,24,0.0754,30,0.1889
ar-en/ar,هي,413,0.074,22,0.0691,6,0.0378
ar-en/ar,عند,408,0.0731,37,0.1163,9,0.0567
ar-en/ar,و,403,0.0722,1,0.0031,0,0.0
ar-en/ar,إلا,402,0.072,20,0.0629,14,0.0881
ar-en/ar,فإن,401,0.0718,14,0.044,9,0.0567
ar-en/ar,إذا,399,0.0715,18,0.0566,6,0.0378
ar-en/ar,بسبب,399,0.0715,22,0.0691,6,0.0378
ar-en/ar,الشركة,397,0.0711,44,0.1383,11,0.0692
ar-en/ar,جميع,396,0.071,18,0.0566,11,0.0692
ar-en/ar,أنها,396,0.071,35,0.11,15,0.0944
ar-en/ar,فيما,395,0.0708,37,0.1163,18,0.1133
ar-en/ar,ألف,395,0.0708,23,0.0723,6,0.0378
ar-en/ar,أيضًا,387,0.0693,7,0.022,5,0.0315
ar-en/ar,الذكاء,381,0.0683,13,0.0409,8,0.0504
ar-en/ar,–,381,0.0683,8,0.0251,6,0.0378
ar-en/ar,الأميركي,376,0.0674,40,0.1257,17,0.107
ar-en/ar,عدد,371,0.0665,17,0.0534,16,0.1007
ar-en/ar,السعودية,371,0.0665,17,0.0534,49,0.3085
ar-en/ar,قال,368,0.0659,18,0.0566,10,0.063
ar-en/ar,تلك,356,0.0638,13,0.0409,15,0.0944
ar-en/ar,هناك,353,0.0632,10,0.0314,7,0.0441
ar-en/ar,وفق,346,0.062,47,0.1477,11,0.0692
ar-en/ar,ومن,344,0.0616,17,0.0534,8,0.0504
ar-en/ar,أمام,339,0.0607,22,0.0691,24,0.1511
ar-en/ar,وهي,338,0.0606,12,0.0377,5,0.0315
ar-en/ar,الاصطناعي,337,0.0604,11,0.0346,6,0.0378
ar-en/en,the,38876,5.7951,2553,6.4244,1261,6.431
ar-en/en,of,19410,2.8934,1133,2.8511,545,2.7795
ar-en/en,to,17682,2.6358,1085,2.7303,577,2.9427
ar-en/en,and,17490,2.6072,833,2.0962,513,2.6163
ar-en/en,in,13065,1.9475,732,1.842,330,1.683
ar-en/en,a,11887,1.7719,652,1.6407,312,1.5912
ar-en/en,that,7630,1.1374,549,1.3815,227,1.1577
ar-en/en,for,6442,0.9603,384,0.9663,223,1.1373
ar-en/en,The,5364,0.7996,373,0.9386,200,1.02
ar-en/en,on,4806,0.7164,289,0.7272,142,0.7242
ar-en/en,is,4527,0.6748,243,0.6115,118,0.6018
ar-en/en,by,4402,0.6562,328,0.8254,168,0.8568
ar-en/en,with,4315,0.6432,216,0.5435,96,0.4896
ar-en/en,from,3854,0.5745,231,0.5813,130,0.663
ar-en/en,as,3618,0.5393,213,0.536,83,0.4233
ar-en/en,their,3140,0.4681,189,0.4756,116,0.5916
ar-en/en,has,3034,0.4523,203,0.5108,102,0.5202
ar-en/en,its,2888,0.4305,218,0.5486,94,0.4794
ar-en/en,at,2771,0.4131,203,0.5108,83,0.4233
ar-en/en,was,2594,0.3867,154,0.3875,50,0.255
ar-en/en,this,2336,0.3482,169,0.4253,55,0.2805
ar-en/en,have,2250,0.3354,111,0.2793,63,0.3213
