direction,eval_split,unigram,bigram,trigram,fourgram
ar-en/ar,dev,89.2039,36.8238,9.1793,2.6651
ar-en/ar,devtest,90.6956,40.4615,12.1599,4.6159
ar-en/en,dev,95.4302,61.3387,24.6111,8.4542
ar-en/en,devtest,96.3586,64.4337,27.4344,10.0066
ar-hi/ar,dev,89.075,36.6162,9.0988,2.6408
ar-hi/ar,devtest,90.6012,40.377,12.1129,4.602
ar-hi/hi,dev,97.5208,76.0071,40.6042,17.7721
ar-hi/hi,devtest,98.0729,79.0687,44.4857,20.443
ar-ur/ar,dev,89.1033,36.6551,9.1223,2.6477
ar-ur/ar,devtest,90.6352,40.3956,12.1469,4.6075
ar-ur/ur,dev,97.859,79.9231,46.7393,22.0203
ar-ur/ur,devtest,98.4407,82.8811,50.5151,24.3941
