direction,split,mean,median,std,p95,p99
ar-en/ar,train,26.5778,24.0,14.4019,52.0,80.0
ar-en/ar,dev,31.817,29.0,16.0298,62.0,91.03
ar-en/ar,devtest,31.77,29.0,15.2857,58.05,79.09
ar-en/en,train,31.945,28.0,19.0573,66.0,101.01
ar-en/en,dev,39.739,35.0,21.6469,76.0,126.0
ar-en/en,devtest,39.216,35.5,18.2284,72.05,93.0
ar-hi/ar,train,26.8419,24.0,14.531,53.0,81.0
ar-hi/ar,dev,31.817,29.0,16.0298,62.0,91.03
ar-hi/ar,devtest,31.77,29.0,15.2857,58.05,79.09
ar-hi/hi,train,38.333,33.0,22.6913,79.05,122.0
ar-hi/hi,dev,46.951,42.0,25.2052,90.0,143.04
ar-hi/hi,devtest,46.702,42.0,21.8504,88.05,110.02
ar-ur/ar,train,26.7918,24.0,14.5036,53.0,81.0
ar-ur/ar,dev,31.817,29.0,16.0298,62.0,91.03
ar-ur/ar,devtest,31.736,29.0,15.3152,58.05,79.09
ar-ur/ur,train,41.4184,36.0,24.5862,86.0,130.0
ar-ur/ur,dev,51.192,46.0,27.2039,97.05,157.05
ar-ur/ur,devtest,50.536,46.0,23.6456,96.0,123.07
