direction,split,total_sentences,unique_sentences,duplicate_sentences,duplicate_pct,total_tokens,unique_tokens
ar-en/ar,train,21000,21000,0,0.0,558133,98062
ar-en/ar,dev,1000,1000,0,0.0,31817,12480
ar-en/ar,devtest,500,500,0,0.0,15885,6686
ar-en/en,train,21000,20994,6,0.0286,670845,58233
ar-en/en,dev,1000,999,1,0.1,39739,9203
ar-en/en,devtest,500,499,1,0.2,19608,5335
ar-hi/ar,train,20100,20100,0,0.0,539522,95932
ar-hi/ar,dev,1000,1000,0,0.0,31817,12480
ar-hi/ar,devtest,500,500,0,0.0,15885,6686
ar-hi/hi,train,20100,20091,9,0.0448,770493,35427
ar-hi/hi,dev,1000,999,1,0.1,46951,6367
ar-hi/hi,devtest,500,499,1,0.2,23351,3817
ar-ur/ar,train,20300,20300,0,0.0,543873,96320
ar-ur/ar,dev,1000,1000,0,0.0,31817,12480
ar-ur/ar,devtest,500,500,0,0.0,15868,6678
ar-ur/ur,train,20300,20294,6,0.0296,840793,32960
ar-ur/ur,dev,1000,999,1,0.1,51192,6293
ar-ur/ur,devtest,500,499,1,0.2,25268,3788
