Top 100 words — train_ar_ar-en
────────────────────────────────────────────────────────────
 Rank  Token                                               Count
────────────────────────────────────────────────────────────
    1.  في                                                 20,342
    2.  من                                                 13,697
    3.  على                                                 9,197
    4.  إلى                                                 6,896
    5.  أن                                                  6,255
    6.  مع                                                  2,970
    7.  التي                                                2,860
    8.  عن                                                  2,849
    9.  ما                                                  2,435
   10.  هذه                                                 1,957
   11.  أو                                                  1,944
   12.  هذا                                                 1,848
   13.  لا                                                  1,833
   14.  الذي                                                1,538
   15.  بعد                                                 1,536
   16.  خلال                                                1,466
   17.  بين                                                 1,452
   18.  عام                                                 1,309
   19.  كما                                                 1,254
   20.  ،                                                   1,123
   21.  غير                                                 1,090
   22.  حيث                                                 1,075
   23.  لم                                                  1,064
   24.  كان                                                 1,049
   25.  إن                                                    971
   26.  أكثر                                                  947
   27.  قد                                                    923
   28.  ذلك                                                   892
   29.  مثل                                                   831
   30.  كانت                                                  825
   31.  قبل                                                   820
   32.  بشكل                                                  795
   33.  عبر                                                   735
   34.  منذ                                                   728
   35.  المتحدة                                               711
   36.  أي                                                    707
   37.  حتى                                                   701
   38.  لكن                                                   693
   39.  هو                                                    673
   40.  أنه                                                   665
   41.  نحو                                                   660
   42.  كل                                                    658
   43.  العام                                                 656
   44.  الرئيس                                                636
   45.  مما                                                   635
   46.  اليوم                                                 626
   47.  مليون                                                 593
   48.  بل                                                    572
   49.  ذلك،                                                  558
   50.  وفي                                                   558
   51.  .                                                     554
   52.  وقال                                                  541
   53.  مليار                                                 541
   54.  بما                                                   534
   55.  وهو                                                   531
   56.  يوم                                                   527
   57.  حول                                                   515
   58.  بعض                                                   507
   59.  دون                                                   490
   60.  ترامب                                                 487
   61.  الولايات                                              482
   62.  يمكن                                                  482
   63.  الحكومة                                               479
   64.  شركة                                                  460
   65.  الذين                                                 448
   66.  تم                                                    442
   67.  دولار                                                 442
   68.  بينما                                                 439
   69.  رئيس                                                  437
   70.  عندما                                                 436
   71.  بنسبة                                                 435
   72.  مجلس                                                  433
   73.  إسرائيل                                               421
   74.  إذ                                                    417
   75.  هي                                                    413
   76.  عند                                                   408
   77.  و                                                     403
   78.  إلا                                                   402
   79.  فإن                                                   401
   80.  إذا                                                   399
   81.  بسبب                                                  399
   82.  الشركة                                                397
   83.  جميع                                                  396
   84.  أنها                                                  396
   85.  فيما                                                  395
   86.  ألف                                                   395
   87.  أيضًا                                                 387
   88.  الذكاء                                                381
   89.  –                                                     381
   90.  الأميركي                                              376
   91.  عدد                                                   371
   92.  السعودية                                              371
   93.  قال                                                   368
   94.  تلك                                                   356
   95.  هناك                                                  353
   96.  وفق                                                   346
   97.  ومن                                                   344
   98.  أمام                                                  339
   99.  وهي                                                   338
  100.  الاصطناعي                                             337
