Top 100 words — train_ar_ar-hi
────────────────────────────────────────────────────────────
 Rank  Token                                               Count
────────────────────────────────────────────────────────────
    1.  في                                                 19,510
    2.  من                                                 13,130
    3.  على                                                 8,894
    4.  إلى                                                 6,693
    5.  أن                                                  6,134
    6.  مع                                                  2,845
    7.  عن                                                  2,763
    8.  التي                                                2,740
    9.  ما                                                  2,373
   10.  هذه                                                 1,886
   11.  أو                                                  1,882
   12.  هذا                                                 1,783
   13.  لا                                                  1,782
   14.  بعد                                                 1,495
   15.  الذي                                                1,471
   16.  خلال                                                1,420
   17.  بين                                                 1,406
   18.  عام                                                 1,252
   19.  كما                                                 1,207
   20.  غير                                                 1,052
   21.  حيث                                                 1,036
   22.  لم                                                  1,016
   23.  ،                                                   1,016
   24.  كان                                                 1,001
   25.  إن                                                    951
   26.  أكثر                                                  901
   27.  قد                                                    899
   28.  ذلك                                                   849
   29.  مثل                                                   790
   30.  قبل                                                   790
   31.  كانت                                                  787
   32.  بشكل                                                  758
   33.  عبر                                                   728
   34.  المتحدة                                               707
   35.  منذ                                                   698
   36.  أي                                                    689
   37.  لكن                                                   670
   38.  حتى                                                   660
   39.  نحو                                                   653
   40.  هو                                                    646
   41.  أنه                                                   645
   42.  العام                                                 641
   43.  الرئيس                                                626
   44.  كل                                                    626
   45.  اليوم                                                 619
   46.  مما                                                   609
   47.  مليون                                                 568
   48.  بل                                                    566
   49.  وفي                                                   553
   50.  وقال                                                  539
   51.  مليار                                                 538
   52.  يوم                                                   522
   53.  وهو                                                   522
   54.  بما                                                   522
   55.  ذلك،                                                  517
   56.  .                                                     508
   57.  بعض                                                   495
   58.  حول                                                   489
   59.  ترامب                                                 485
   60.  دون                                                   481
   61.  الولايات                                              477
   62.  يمكن                                                  461
   63.  شركة                                                  451
   64.  الحكومة                                               450
   65.  بنسبة                                                 430
   66.  دولار                                                 429
   67.  بينما                                                 429
   68.  مجلس                                                  427
   69.  رئيس                                                  422
   70.  الذين                                                 418
   71.  إذ                                                    413
   72.  إسرائيل                                               409
   73.  عندما                                                 406
   74.  عند                                                   403
   75.  تم                                                    399
   76.  هي                                                    398
   77.  الشركة                                                393
   78.  فيما                                                  387
   79.  فإن                                                   386
   80.  أنها                                                  386
   81.  إلا                                                   383
   82.  إذا                                                   380
   83.  بسبب                                                  379
   84.  جميع                                                  379
   85.  ألف                                                   378
   86.  و                                                     375
   87.  الأميركي                                              374
   88.  السعودية                                              371
   89.  الذكاء                                                357
   90.  أيضًا                                                 353
   91.  قال                                                   353
   92.  عدد                                                   351
   93.  وفق                                                   346
   94.  تلك                                                   343
   95.  ومن                                                   338
   96.  أمام                                                  332
   97.  بأن                                                   332
   98.  –                                                     331
   99.  هناك                                                  329
  100.  الدول                                                 327
