Top 100 words — train_ar_ar-ur
────────────────────────────────────────────────────────────
 Rank  Token                                               Count
────────────────────────────────────────────────────────────
    1.  في                                                 19,692
    2.  من                                                 13,256
    3.  على                                                 8,982
    4.  إلى                                                 6,750
    5.  أن                                                  6,186
    6.  مع                                                  2,884
    7.  عن                                                  2,779
    8.  التي                                                2,773
    9.  ما                                                  2,395
   10.  هذه                                                 1,904
   11.  أو                                                  1,898
   12.  هذا                                                 1,801
   13.  لا                                                  1,798
   14.  بعد                                                 1,498
   15.  الذي                                                1,490
   16.  خلال                                                1,434
   17.  بين                                                 1,413
   18.  عام                                                 1,259
   19.  كما                                                 1,212
   20.  غير                                                 1,067
   21.  حيث                                                 1,050
   22.  ،                                                   1,040
   23.  لم                                                  1,025
   24.  كان                                                 1,012
   25.  إن                                                    956
   26.  أكثر                                                  911
   27.  قد                                                    907
   28.  ذلك                                                   856
   29.  قبل                                                   801
   30.  مثل                                                   799
   31.  كانت                                                  796
   32.  بشكل                                                  782
   33.  عبر                                                   725
   34.  المتحدة                                               708
   35.  منذ                                                   701
   36.  أي                                                    693
   37.  لكن                                                   673
   38.  حتى                                                   669
   39.  نحو                                                   654
   40.  أنه                                                   649
   41.  هو                                                    648
   42.  العام                                                 645
   43.  كل                                                    630
   44.  الرئيس                                                627
   45.  مما                                                   619
   46.  اليوم                                                 619
   47.  مليون                                                 570
   48.  بل                                                    564
   49.  وفي                                                   555
   50.  مليار                                                 544
   51.  وقال                                                  540
   52.  ذلك،                                                  537
   53.  وهو                                                   528
   54.  بما                                                   524
   55.  يوم                                                   523
   56.  .                                                     521
   57.  بعض                                                   501
   58.  حول                                                   500
   59.  ترامب                                                 487
   60.  دون                                                   483
   61.  الولايات                                              477
   62.  يمكن                                                  472
   63.  الحكومة                                               456
   64.  شركة                                                  451
   65.  دولار                                                 436
   66.  بينما                                                 431
   67.  بنسبة                                                 431
   68.  مجلس                                                  427
   69.  الذين                                                 426
   70.  رئيس                                                  422
   71.  إذ                                                    413
   72.  إسرائيل                                               411
   73.  عندما                                                 410
   74.  عند                                                   407
   75.  هي                                                    404
   76.  تم                                                    402
   77.  فإن                                                   394
   78.  الشركة                                                394
   79.  أنها                                                  391
   80.  فيما                                                  391
   81.  إلا                                                   389
   82.  بسبب                                                  384
   83.  جميع                                                  384
   84.  ألف                                                   382
   85.  إذا                                                   382
   86.  الذكاء                                                379
   87.  الأميركي                                              375
   88.  و                                                     371
   89.  السعودية                                              371
   90.  أيضًا                                                 364
   91.  عدد                                                   357
   92.  قال                                                   353
   93.  –                                                     350
   94.  وفق                                                   346
   95.  تلك                                                   345
   96.  الدول                                                 341
   97.  ومن                                                   337
   98.  بأن                                                   334
   99.  أمام                                                  334
  100.  الاصطناعي                                             333
