Top 100 words — train_hi_ar-hi
────────────────────────────────────────────────────────────
 Rank  Token                                               Count
────────────────────────────────────────────────────────────
    1.  के                                                 41,501
    2.  में                                                23,066
    3.  की                                                 18,524
    4.  और                                                 17,507
    5.  को                                                 15,280
    6.  से                                                 15,028
    7.  का                                                 10,303
    8.  है।                                                10,081
    9.  पर                                                  8,846
   10.  ने                                                  8,472
   11.  एक                                                  8,210
   12.  कि                                                  7,535
   13.  लिए                                                 7,217
   14.  है,                                                 6,259
   15.  करने                                                6,248
   16.  है                                                  4,781
   17.  जो                                                  4,277
   18.  यह                                                  4,036
   19.  इस                                                  3,820
   20.  रूप                                                 3,737
   21.  हैं।                                                3,665
   22.  किया                                                3,426
   23.  कर                                                  3,114
   24.  भी                                                  3,029
   25.  अपने                                                2,836
   26.  नहीं                                                2,807
   27.  साथ                                                 2,771
   28.  में,                                                2,494
   29.  हैं,                                                2,410
   30.  गया                                                 2,392
   31.  हो                                                  2,293
   32.  तक                                                  2,221
   33.  दिया                                                1,966
   34.  द्वारा                                              1,921
   35.  करना                                                1,874
   36.  उन्होंने                                            1,839
   37.  या                                                  1,813
   38.  अधिक                                                1,763
   39.  करते                                                1,750
   40.  महत्वपूर्ण                                          1,703
   41.  बाद                                                 1,689
   42.  अपनी                                                1,674
   43.  शामिल                                               1,594
   44.  करता                                                1,562
   45.  अनुसार,                                             1,547
   46.  वाले                                                1,503
   47.  हैं                                                 1,436
   48.  ही                                                  1,423
   49.  उनके                                                1,412
   50.  हुए                                                 1,359
   51.  इसके                                                1,344
   52.  क्षेत्र                                             1,343
   53.  था।                                                 1,328
   54.  कम                                                  1,313
   55.  बात                                                 1,313
   56.  बीच                                                 1,301
   57.  रहे                                                 1,236
   58.  कहा                                                 1,226
   59.  जिससे                                               1,219
   60.  कारण                                                1,217
   61.  गई                                                  1,207
   62.  गए                                                  1,194
   63.  पहले                                                1,182
   64.  कुछ                                                 1,182
   65.  लोगों                                               1,165
   66.  रहा                                                 1,161
   67.  कई                                                  1,158
   68.  होने                                                1,140
   69.  अमेरिकी                                             1,127
   70.  वह                                                  1,112
   71.  लगभग                                                1,110
   72.  राज्य                                               1,045
   73.  राष्ट्रपति                                          1,037
   74.  संयुक्त                                             1,024
   75.  देश                                                 1,020
   76.  जोर                                                 1,018
   77.  सकता                                                1,012
   78.  दौरान                                               1,011
   79.  वे                                                  1,005
   80.  उन्हें                                                999
   81.  लेकिन                                                 980
   82.  जाता                                                  978
   83.  उनकी                                                  963
   84.  बारे                                                  955
   85.  वृद्धि                                                946
   86.  सबसे                                                  945
   87.  सुरक्षा                                               925
   88.  इन                                                    916
   89.  माध्यम                                                916
   90.  जैसे                                                  914
   91.  जिसमें                                                875
   92.  जब                                                    870
   93.  था,                                                   864
   94.  किए                                                   864
   95.  -                                                     862
   96.  समय                                                   860
   97.  शुरू                                                  856
   98.  कंपनी                                                 847
   99.  तो                                                    843
  100.  खिलाफ                                                 823
