Top 100 words — english
────────────────────────────────────────────────────────────
 Rank  Token                                               Count
────────────────────────────────────────────────────────────
    1.  the                                                38,876
    2.  of                                                 19,410
    3.  to                                                 17,682
    4.  and                                                17,490
    5.  in                                                 13,065
    6.  a                                                  11,887
    7.  that                                                7,630
    8.  for                                                 6,442
    9.  The                                                 5,364
   10.  on                                                  4,806
   11.  is                                                  4,527
   12.  by                                                  4,402
   13.  with                                                4,315
   14.  from                                                3,854
   15.  as                                                  3,618
   16.  their                                               3,140
   17.  has                                                 3,034
   18.  its                                                 2,888
   19.  at                                                  2,771
   20.  was                                                 2,594
   21.  this                                                2,336
   22.  have                                                2,250
   23.  are                                                 2,246
   24.  In                                                  2,242
   25.  an                                                  2,078
   26.  which                                               2,004
   27.  his                                                 1,906
   28.  it                                                  1,796
   29.  or                                                  1,778
   30.  not                                                 1,746
   31.  This                                                1,590
   32.  be                                                  1,532
   33.  will                                                1,508
   34.  who                                                 1,466
   35.  they                                                1,415
   36.  over                                                1,370
   37.  been                                                1,329
   38.  he                                                  1,308
   39.  also                                                1,264
   40.  were                                                1,211
   41.  I                                                   1,177
   42.  ,                                                   1,174
   43.  these                                               1,125
   44.  significant                                         1,104
   45.  but                                                 1,070
   46.  during                                              1,037
   47.  about                                                 978
   48.  more                                                  963
   49.  against                                               958
   50.  into                                                  933
   51.  through                                               920
   52.  one                                                   918
   53.  such                                                  907
   54.  between                                               894
   55.  while                                                 860
   56.  new                                                   855
   57.  within                                                854
   58.  President                                             853
   59.  According                                             819
   60.  both                                                  801
   61.  would                                                 793
   62.  where                                                 790
   63.  Saudi                                                 782
   64.  can                                                   757
   65.  —                                                     757
   66.  He                                                    738
   67.  all                                                   736
   68.  had                                                   735
   69.  according                                             724
   70.  due                                                   722
   71.  when                                                  714
   72.  than                                                  713
   73.  two                                                   700
   74.  like                                                  693
   75.  following                                             692
   76.  government                                            676
   77.  stated                                                674
   78.  her                                                   671
   79.  those                                                 670
   80.  United                                                657
   81.  there                                                 648
   82.  other                                                 645
   83.  However,                                              631
   84.  including                                             629
   85.  first                                                 625
   86.  could                                                 625
   87.  people                                                609
   88.  global                                                609
   89.  international                                         607
   90.  we                                                    601
   91.  any                                                   595
   92.  As                                                    592
   93.  emphasized                                            585
   94.  them                                                  579
   95.  million                                               578
   96.  US                                                    577
   97.  most                                                  575
   98.  after                                                 572
   99.  approximately                                         571
  100.  just                                                  568
