Top 100 words — urdu
────────────────────────────────────────────────────────────
 Rank  Token                                               Count
────────────────────────────────────────────────────────────
    1.  کے                                                 47,768
    2.  کی                                                 28,877
    3.  میں                                                23,860
    4.  اور                                                17,284
    5.  سے                                                 16,489
    6.  کو                                                 16,164
    7.  پر                                                 13,335
    8.  نے                                                 12,458
    9.  کا                                                 11,401
   10.  اس                                                 10,325
   11.  ہے۔                                                 9,877
   12.  کہ                                                  9,483
   13.  ایک                                                 8,053
   14.  لیے                                                 6,550
   15.  ہے،                                                 5,953
   16.  ہے                                                  5,820
   17.  کرنے                                                5,793
   18.  یہ                                                  4,957
   19.  کیا                                                 4,848
   20.  جو                                                  4,712
   21.  طور                                                 4,512
   22.  ان                                                  4,144
   23.  کر                                                  4,135
   24.  ہیں۔                                                4,109
   25.  جس                                                  3,607
   26.  ساتھ                                                3,371
   27.  اپنے                                                2,857
   28.  نہیں                                                2,767
   29.  وہ                                                  2,724
   30.  بھی                                                 2,530
   31.  ہیں،                                                2,527
   32.  تک                                                  2,425
   33.  کرتے                                                2,281
   34.  میں،                                                2,160
   35.  زیادہ                                               2,098
   36.  بات                                                 1,979
   37.  اپنی                                                1,938
   38.  والے                                                1,913
   39.  ہیں                                                 1,907
   40.  دیا                                                 1,886
   41.  ہو                                                  1,825
   42.  کرتا                                                1,810
   43.  یا                                                  1,790
   44.  ہوئے                                                1,787
   45.  گیا                                                 1,786
   46.  بعد                                                 1,742
   47.  ہونے                                                1,719
   48.  کرنا                                                1,640
   49.  اہم                                                 1,520
   50.  کم                                                  1,452
   51.  غیر                                                 1,367
   52.  شامل                                                1,335
   53.  جب                                                  1,329
   54.  سال                                                 1,314
   55.  وجہ                                                 1,285
   56.  مزید                                                1,256
   57.  زور                                                 1,255
   58.  خلاف                                                1,230
   59.  طرف                                                 1,210
   60.  حاصل                                                1,201
   61.  مطابق،                                              1,199
   62.  انہوں                                               1,199
   63.  درمیان                                              1,142
   64.  کرتی                                                1,120
   65.  بارے                                                1,113
   66.  استعمال                                             1,109
   67.  دوران                                               1,107
   68.  تقریباً                                             1,081
   69.  امریکی                                              1,075
   70.  کام                                                 1,073
   71.  ذریعے                                               1,059
   72.  جاری                                                1,058
   73.  کہا                                                 1,056
   74.  کیا۔                                                1,051
   75.  والی                                                1,047
   76.  صدر                                                 1,046
   77.  ملک                                                 1,045
   78.  تھا۔                                                1,040
   79.  جیسے                                                1,039
   80.  فیصد                                                1,034
   81.  لیکن                                                1,033
   82.  پہلے                                                1,021
   83.  پیش                                                 1,012
   84.  طرح                                                 1,010
   85.  رہے                                                 1,001
   86.  گئی                                                   992
   87.  ہی                                                    989
   88.  بہت                                                   954
   89.  سب                                                    934
   90.  صرف                                                   930
   91.  رہا                                                   916
   92.  اضافہ                                                 911
   93.  مقصد                                                  907
   94.  جاتا                                                  904
   95.  سرمایہ                                                892
   96.  سکتا                                                  884
   97.  و                                                     882
   98.  وقت                                                   869
   99.  ہم                                                    861
  100.  خاص                                                   854
